model_type,clf,parameters,auc-roc,r_at_5,r_at_10,r_at_20,r_at_30,r_at_35,r_at_40,p_at_5,p_at_10,p_at_20,p_at_30,p_at_35,p_at_40
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.517487514,0.042857143,0.042857143,0.242857143,0.242857143,0.242857143,0.407142857,0.039735099,0.01986755,0.056198347,0.037444934,0.032075472,0.047068538
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.517487514,0.042857143,0.042857143,0.242857143,0.242857143,0.242857143,0.407142857,0.039735099,0.01986755,0.056198347,0.037444934,0.032075472,0.047068538
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'uniform'}",0.517487514,0.042857143,0.042857143,0.242857143,0.242857143,0.242857143,0.407142857,0.039735099,0.01986755,0.056198347,0.037444934,0.032075472,0.047068538
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 10, 'weights': 'distance'}",0.517487514,0.042857143,0.042857143,0.242857143,0.242857143,0.242857143,0.407142857,0.039735099,0.01986755,0.056198347,0.037444934,0.032075472,0.047068538
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'uniform'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 5, 'weights': 'distance'}",0.514137368,0.042857143,0.107142857,0.107142857,0.107142857,0.25,1,0.039735099,0.049668874,0.024793388,0.016519824,0.033018868,0.115606936
SVM,"SVC(C=10, break_ties=False, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='scale', kernel='linear',
    max_iter=-1, probability=True, random_state=0, shrinking=True, tol=0.001,
    verbose=False)","{'C': 1e-05, 'kernel': 'linear'}",0.512302824,0.014285714,0.014285714,0.285714286,0.285714286,0.285714286,0.442857143,0.013245033,0.006622517,0.066115702,0.044052863,0.037735849,0.051197358
SVM,"SVC(C=10, break_ties=False, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='scale', kernel='linear',
    max_iter=-1, probability=True, random_state=0, shrinking=True, tol=0.001,
    verbose=False)","{'C': 0.0001, 'kernel': 'linear'}",0.512302824,0.014285714,0.014285714,0.285714286,0.285714286,0.285714286,0.442857143,0.013245033,0.006622517,0.066115702,0.044052863,0.037735849,0.051197358
SVM,"SVC(C=10, break_ties=False, cache_size=200, class_weight=None, coef0=0.0,
    decision_function_shape='ovr', degree=3, gamma='scale', kernel='linear',
    max_iter=-1, probability=True, random_state=0, shrinking=True, tol=0.001,
    verbose=False)","{'C': 0.01, 'kernel': 'linear'}",0.511620432,0.014285714,0.014285714,0.25,0.3,0.3,0.428571429,0.013245033,0.006622517,0.05785124,0.046255507,0.039622642,0.04954583
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 1e-05, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0,0,0,0,0.671428571,0.992857143,0,0,0,0,0.088679245,0.114781173
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.5,0,0,0,0,0.671428571,0.992857143,0,0,0,0,0.088679245,0.114781173
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'uniform'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'ball_tree', 'n_neighbors': 1, 'weights': 'distance'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'uniform'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
KNN,"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski',
                     metric_params=None, n_jobs=None, n_neighbors=100, p=2,
                     weights='distance')","{'algorithm': 'kd_tree', 'n_neighbors': 1, 'weights': 'distance'}",0.492038768,0,0,0,0,0.65,1,0,0,0,0,0.085849057,0.115606936
LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)","{'C': 1e-05, 'penalty': 'l2', 'solver': 'liblinear'}",0.414141077,0.042857143,0.114285714,0.178571429,0.214285714,0.257142857,0.3,0.039735099,0.052980132,0.041322314,0.033039648,0.033962264,0.034682081
